
date,open,high,low,close,volume
2025-04-11,185.23,187.67,184.89,187.45,59328000
2025-04-10,186.34,187.45,185.23,186.22,48562000
2025-04-09,184.56,186.78,184.21,186.34,52341000
2025-04-08,183.45,185.67,183.11,184.56,43567000
2025-04-07,181.23,183.45,180.89,183.45,51234000
2025-04-04,182.45,183.67,180.34,181.23,48723000
2025-04-03,180.67,182.56,179.89,182.45,53421000
2025-04-02,178.45,180.78,178.12,180.67,49876000
2025-04-01,176.78,179.34,176.45,178.45,47654000
2025-03-31,174.56,177.23,174.23,176.78,51234000
