
date,open,high,low,close,volume
2025-04-11,420.45,422.67,418.23,418.32,21472000
2025-04-10,419.34,421.56,418.76,420.45,19345000
2025-04-09,417.23,419.89,416.78,419.34,18765000
2025-04-08,415.67,418.34,415.23,417.23,17654000
2025-04-07,414.23,416.78,413.89,415.67,19876000
2025-04-04,412.56,415.67,412.34,414.23,16543000
2025-04-03,410.78,413.56,410.21,412.56,18765000
2025-04-02,408.45,411.23,408.12,410.78,17654000
2025-04-01,406.78,409.56,406.23,408.45,19876000
2025-03-31,405.23,407.89,404.78,406.78,18765000
