
symbol,name,price,change,changePercent,marketCap,volume,pe,eps,dividend,dividendYield,beta
AAPL,Apple Inc.,187.45,1.23,0.66,2940000000000,59328000,30.8,6.08,0.96,0.51,1.28
MSFT,Microsoft Corporation,418.32,-2.15,-0.51,3110000000000,21472000,35.9,11.65,3.00,0.72,0.95
GOOGL,Alphabet Inc.,172.92,0.87,0.51,2140000000000,19876000,26.4,6.55,0,0,1.06
AMZN,Amazon.com Inc.,186.21,-0.43,-0.23,1920000000000,35621000,52.3,3.56,0,0,1.22
TSLA,Tesla Inc.,177.58,4.32,2.49,565000000000,108532000,50.7,3.50,0,0,2.01
META,Meta Platforms Inc.,493.50,2.75,0.56,1260000000000,14532000,28.4,17.37,0,0,1.37
NVDA,NVIDIA Corporation,823.24,15.32,1.89,2030000000000,96785000,75.3,10.93,0.04,0.01,1.78
JPM,JPMorgan Chase & Co.,193.76,-0.87,-0.45,564000000000,7865000,11.8,16.42,4.00,2.06,1.12
V,Visa Inc.,275.45,0.65,0.24,570000000000,5632000,32.1,8.58,1.80,0.65,0.96
WMT,Walmart Inc.,69.82,0.35,0.50,563000000000,12345000,31.2,2.24,0.70,1.00,0.74
